Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ADX,"Adams Diversified Equity Fund, Inc.",15.71,$1.55B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",19.77,$564.45M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo
AE,"Adams Resources & Energy, Inc.",45.18,$190.55M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
ADAP,Adaptimmune Therapeutics plc,8.16,$763.12M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,34.45,$400.47M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",1.4467,$14.75M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
AGRO,Adecoagro S.A.,9.89,$1.19B,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
IOTS,Adesto Technologies Corporation,7.55,$158.12M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots
ADNT,Adient plc,78.7,$7.33B,2016,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adnt
ADMA,ADMA Biologics Inc,2.24,$38.53M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
ADBE,Adobe Systems Incorporated,182.3,$89.86B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADOM,"ADOMANI, Inc.",4.6499,$316.52M,2017,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adom
ATGE,Adtalem Global Education Inc.,35.65,$2.2B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/atge
ADTN,"ADTRAN, Inc.",20.85,$996.61M,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",7.975,$595.03M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
AAP,Advance Auto Parts Inc,81.8,$6.04B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
AAAP,Advanced Accelerator Applications S.A.,81,$3.58B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
ADSW,"Advanced Disposal Services, Inc.",22.54,$1.99B,2016,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/adsw
WMS,"Advanced Drainage Systems, Inc.",21.3,$1.18B,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms
ADES,"Advanced Emissions Solutions, Inc.",11.79,$248.81M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",83.2,$3.3B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AMD,"Advanced Micro Devices, Inc.",11.12,$10.53B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ASX,"Advanced Semiconductor Engineering, Inc.",6.16,$10.42B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
ASIX,AdvanSix Inc.,44.24,$1.35B,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/asix
AAV,Advantage Oil & Gas Ltd,5.7,$1.06B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
ADXS,"Advaxis, Inc.",3.3,$135.52M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
ADXSW,"Advaxis, Inc.",1.33,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
AVK,Advent Claymore Convertible Securities and Income Fund,16.04,$321.5M,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,6.11,$167.21M,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.59,$78.87M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
ADVM,"Adverum Biotechnologies, Inc.",3.2,$138.52M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm
ACM,AECOM,35.71,$5.6B,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,4.2,$170.66M,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AEGN,Aegion Corp,25.885,$854.52M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",4.93,$81.11M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle
AEB,Aegon NV,24.2,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
AED,Aegon NV,25.98,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed
AEG,Aegon NV,5.89,$12.06B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,25.88,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh
AEK,Aegon NV,26.26,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek
AEHR,Aehr Test Systems,3.52,$75.83M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",0.7622,$15.11M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx
AER,Aercap Holdings N.V.,52.5,$8.58B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
AERI,"Aerie Pharmaceuticals, Inc.",64.85,$2.36B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
ACY,AeroCentury Corp.,13.2,$18.7M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
HIVE,"Aerohive Networks, Inc.",4.2,$226.27M,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",27.97,$2.1B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd
AVAV,"AeroVironment, Inc.",50.37,$1.2B,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,1.91,$31.4M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",0.9701,$14.62M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd
AET,Aetna Inc.,176.99,$57.72B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
GNMX,"Aevi Genomic Medicine, Inc.",1.55,$91.97M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gnmx
AMG,"Affiliated Managers Group, Inc.",185.35,$10.37B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
AFMD,Affimed N.V.,2.25,$98.86M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
AFL,Aflac Incorporated,83.98,$33.08B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
AFSD,Aflac Incorporated,25.23,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd
MITT,"AG Mortgage Investment Trust, Inc.",18.97,$534.75M,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",25.51,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",25.35,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,69,$5.49B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco
AGEN,Agenus Inc.,3.74,$372.92M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",4.62,$158M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
A,"Agilent Technologies, Inc.",68.37,$22B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a
AGYS,"Agilysys, Inc.",11.97,$280M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",66.42,$3.21B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
AGNC,AGNC Investment Corp.,19.785,$7.74B,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,26.44,$9.16B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
AGNCN,AGNC Investment Corp.,26.43,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncn
AEM,Agnico Eagle Mines Limited,44.11,$10.24B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,48.01,$1.4B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc
AGU,Agrium Inc.,108.09,$14.93B,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu
AGFS,"AgroFresh Solutions, Inc.",5.35,$269.31M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.35,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw
ALRN,"Aileron Therapeutics, Inc.",12.55,$184.67M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alrn
AIMT,"Aimmune Therapeutics, Inc.",30.31,$1.53B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt
AIRI,Air Industries Group,1.3186,$18.79M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi
AL,Air Lease Corporation,44,$4.54B,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
APD,"Air Products and Chemicals, Inc.",159.25,$34.71B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd
AIRT,"Air T, Inc.",19.945,$40.74M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",24.5,$1.45B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
AYR,Aircastle Limited,24.01,$1.89B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr
AIRG,"Airgain, Inc.",7.82,$74.64M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,2.26,$141.96M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AKS,AK Steel Holding Corporation,4.22,$1.33B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
AKAM,"Akamai Technologies, Inc.",53.01,$9.01B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,4.25,$50.05M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx
AKCA,"Akcea Therapeutics, Inc.",17.74,$1.18B,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akca
AKBA,"Akebia Therapeutics, Inc.",17.795,$839.06M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,0.7699,$6.85M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",33.17,$4.14B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",5.71,$108.97M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/akts
ALP^Q,Alabama Power Company,25.48,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alp^q
ALG,"Alamo Group, Inc.",110.65,$1.29B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,6.37,$1.92B,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi
ALRM,"Alarm.com Holdings, Inc.",45.94,$2.15B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm
ALK,"Alaska Air Group, Inc.",63.65,$7.86B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk
ALSK,"Alaska Communications Systems Group, Inc.",2.4851,$130.3M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
AIN,Albany International Corporation,59.1,$1.9B,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,140.04,$15.47B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb
ALBO,"Albireo Pharma, Inc.",27.7,$246.04M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,8.84,$125.93M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc
AA,Alcoa Corporation,47.12,$8.72B,2016,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/aa
ADHD,Alcobra Ltd.,1.4601,$40.24M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
ALDR,"Alder BioPharmaceuticals, Inc.",11,$744.85M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",6.225,$94.31M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
ALEX,"Alexander & Baldwin Holdings, Inc.",44.79,$2.2B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",405.7,$2.07B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",125.3,$11.99B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are
ARE^D,"Alexandria Real Estate Equities, Inc.",36.7001,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^d
AXU,Alexco Resource Corp,1.25,$126.47M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
ALXN,"Alexion Pharmaceuticals, Inc.",117.96,$26.35B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
AQN,Algonquin Power & Utilities Corp.,10.55,$4.04B,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aqn
BABA,Alibaba Group Holding Limited,183.21,$469.02B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/baba
ALCO,"Alico, Inc.",31.6748,$261.43M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",241.35,$19.34B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",1.33,$91.84M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALO,Alio Gold Inc.,3.9,$170.14M,2011,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/alo
ALJJ,"ALJ Regional Holdings, Inc.",3.52,$128.55M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,51,$7.84B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
Y,Alleghany Corporation,583.68,$9B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,25.78,$2.81B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati
ABTX,"Allegiance Bancshares, Inc.",38.65,$508.69M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,132.3,$2.13B,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
